FID	IID	Active	Reinfs	ActivesD1	ReinfsD1	ActivesD2	ReinfsD2	ActivesD3	ReinfsD3	ActiveLG	ReinfsLG	ActivesD1LG	ReinfsD1LG	ActivesD2LG	ReinfsD2LG																																																																																																													
BXD62.RwwJ	44	2791	762	1006	266	678	205	1107	291	3.445915414	2.882524538	3.003029471	2.426511261	2.831869774	2.31386722																																																																																																													
BXD51.RwwJ	45	1716	540	138	91	378	143	1200	306	3.234770295	2.733197265	2.1430148	1.963787827	2.57863921	2.158362492																																																																																																													
BXD51.RwwJ	46	6202	1434	1887	444	2162	497	2153	493	3.792601781	3.156851901	3.27600199	2.648360011	3.335056519	2.697229343																																																																																																													
BXD51.RwwJ	47	5011	1207	1168	303	1675	404	2168	500	3.700011062	3.082066934	3.067814511	2.482873584	3.224274014	2.607455023																																																																																																													
BXD96.RwwJ	48	5320	1269	1826	432	1379	346	2115	491	3.725993259	3.103803721	3.261738547	2.636487896	3.139879086	2.540329475																																																																																																													
BXD66.RwwJ	49	1730	489	9	9	774	223	947	257	3.238297068	2.69019608	1	1	2.889301703	2.350248018																																																																																																													
BXD66.RwwJ	50	11	11	9	9	1	1	1	1	1.079181246	1.079181246	1	1	0.301029996	0.301029996																																																																																																													
BXD66.RwwJ	51	9	9	5	5	3	3	1	1	1	1	0.77815125	0.77815125	0.602059991	0.602059991																																																																																																													
BXD48.RwwJ	52	55	47	9	9	1	1	45	37	1.748188027	1.681241237	1	1	0.301029996	0.301029996																																																																																																													
BXD48.RwwJ	53	11	11	6	6	4	4	1	1	1.079181246	1.079181246	0.84509804	0.84509804	0.698970004	0.698970004																																																																																																													
BXD96.RwwJ	54	5791	1285	1605	362	2091	456	2095	467	3.762828553	3.109240969	3.205745541	2.559906625	3.32056168	2.6599162																																																																																																													
BXD90.RwwJ	55	1743	503	65	56	704	201	974	246	3.241546481	2.702430536	1.819543936	1.755874856	2.848189117	2.305351369																																																																																																													
BXD90.RwwJ	56	1	1	0	0	1	1	0	0	0.301029996	0.301029996	0	0	0.301029996	0.301029996																																																																																																													
BXD9.TyJ	57	2980	793	646	196	1240	312	1094	285	3.474361976	2.899820502	2.810904281	2.294466226	3.093771781	2.495544338																																																																																																													
BXD9.TyJ	58	2072	608	638	191	792	222	642	195	3.316599302	2.784617293	2.805500858	2.283301229	2.899273187	2.348304863																																																																																																													
BXD65.RwwJ	59	23	22	16	15	5	5	2	2	1.380211242	1.361727836	1.230448921	1.204119983	0.77815125	0.77815125																																																																																																													
BXD65.RwwJ	60	753	354	246	116	274	122	233	116	2.877371346	2.550228353	2.392696953	2.068185862	2.439332694	2.089905111																																																																																																													
BXD1.TyJ	61	6	6	5	5	0	0	1	1	0.84509804	0.84509804	0.77815125	0.77815125	0	0																																																																																																													
BXD1.TyJ	62	3265	844	182	102	1306	325	1777	417	3.51401618	2.926856709	2.26245109	2.012837225	3.116275588	2.5132176																																																																																																													
BXD1.TyJ	63	3	3	1	1	1	1	1	1	0.602059991	0.602059991	0.301029996	0.301029996	0.301029996	0.301029996																																																																																																													
BXD24.TyJ	64	1670	536	978	261	387	145	305	130	3.22297645	2.729974286	2.990782692	2.418301291	2.588831726	2.164352856																																																																																																													
BXD24.TyJ	65	353	188	24	22	45	43	284	123	2.549003262	2.276461804	1.397940009	1.361727836	1.662757832	1.643452676																																																																																																													
BXD29.TyJ	66	10	9	9	8	0	0	1	1	1.041392685	1	1	0.954242509	0	0																																																																																																													
BXD29.TyJ	67	5	4	3	2	2	2	0	0	0.77815125	0.698970004	0.602059991	0.477121255	0.477121255	0.477121255																																																																																																													
BXD39.TyJ	68	10	8	8	6	1	1	1	1	1.041392685	0.954242509	0.954242509	0.84509804	0.301029996	0.301029996																																																																																																													
BXD39.TyJ	69	7	7	4	4	1	1	2	2	0.903089987	0.903089987	0.698970004	0.698970004	0.301029996	0.301029996																																																																																																													
BXD48.RwwJ	70	4426	1077	1212	308	1289	323	1925	446	3.646109522	3.032618761	3.083860801	2.489958479	3.11058971	2.51054501																																																																																																													
BXD48.RwwJ	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																													
BXD48.RwwJ	72	2404	688	317	133	780	224	1307	331	3.381115081	2.838219222	2.50242712	2.127104798	2.892651034	2.352182518																																																																																																													
BXD60.RwwJ	73	401	157	6	6	6	6	389	145	2.604226053	2.198657087	0.84509804	0.84509804	0.84509804	0.84509804																																																																																																													
BXD60.RwwJ	74	4768	1128	908	246	1605	382	2255	500	3.678427322	3.052693942	2.958563883	2.392696953	3.205745541	2.583198774																																																																																																													
BXD60.RwwJ	75	965	389	237	115	314	128	414	146	2.984977126	2.591064607	2.376576957	2.064457989	2.498310554	2.11058971																																																																																																													
BXD84.RwwJ	76	125	88	12	10	9	9	104	69	2.100370545	1.949390007	1.113943352	1.041392685	1	1																																																																																																													
BXD84.RwwJ	77	5390	1226	1337	319	1777	407	2276	500	3.731669332	3.088844563	3.126456113	2.505149978	3.249931757	2.610660163																																																																																																													
BXD100.RwwJ	78	812	368	274	124	205	109	333	135	2.910090546	2.567026366	2.439332694	2.096910013	2.31386722	2.041392685																																																																																																													
BXD100.RwwJ	79	1382	481	194	106	410	150	778	225	3.14082218	2.683047038	2.290034611	2.029383778	2.613841822	2.178976947																																																																																																													
BXD100.RwwJ	80	8	8	5	5	1	1	2	2	0.954242509	0.954242509	0.77815125	0.77815125	0.301029996	0.301029996																																																																																																													
BXD68.RwwJ	81	5	5	5	5	0	0	0	0	0.77815125	0.77815125	0.77815125	0.77815125	0	0																																																																																																													
BXD68.RwwJ	82	5	5	4	4	1	1	0	0	0.77815125	0.77815125	0.698970004	0.698970004	0.301029996	0.301029996																																																																																																													
BXD42.TyJ	83	485	171	4	4	2	2	479	165	2.686636269	2.235528447	0.698970004	0.698970004	0.477121255	0.477121255																																																																																																													
BXD42.TyJ	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																													
BXD29.TyJ	85	85	70	4	4	4	4	77	62	1.934498451	1.851258349	0.698970004	0.698970004	0.698970004	0.698970004																																																																																																													
BXD29.TyJ	86	503	175	3	3	2	2	498	170	2.702430536	2.245512668	0.602059991	0.602059991	0.477121255	0.477121255																																																																																																													
BXD77.RwwJ	87	14	13	9	9	2	2	3	2	1.176091259	1.146128036	1	1	0.477121255	0.477121255																																																																																																													
BXD77.RwwJ	88	4	4	2	2	0	0	2	2	0.698970004	0.698970004	0.477121255	0.477121255	0	0																																																																																																													
BXD68.RwwJ	89	5983	1370	1554	370	2216	500	2213	500	3.776991585	3.137037455	3.191730393	2.56937391	3.345765693	2.699837726																																																																																																													
BXD40.TyJ	90	5	5	4	4	1	1	0	0	0.77815125	0.77815125	0.698970004	0.698970004	0.301029996	0.301029996																																																																																																													
BXD32.TyJ	91	3719	945	300	128	1712	409	1707	408	3.57054294	2.975891136	2.478566496	2.11058971	3.233757363	2.612783857																																																																																																													
BXD32.TyJ	92	3	3	2	2	1	1	0	0	0.602059991	0.602059991	0.477121255	0.477121255	0.301029996	0.301029996																																																																																																													
BXD24.TyJ	93	583	309	107	76	278	124	198	110	2.766412847	2.491361694	2.033423755	1.886490725	2.445604203	2.096910013																																																																																																													
BXD24.TyJ	94	1301	460	170	103	715	209	416	149	3.114610984	2.663700925	2.23299611	2.017033339	2.854913022	2.322219295																																																																																																													
BXD60.RwwJ	95	6	6	2	2	3	3	1	1	0.84509804	0.84509804	0.477121255	0.477121255	0.602059991	0.602059991																																																																																																													
BXD60.RwwJ	96	4	3	3	2	1	1	0	0	0.698970004	0.602059991	0.602059991	0.477121255	0.301029996	0.301029996																																																																																																													
BXD39.TyJ	97	4	4	2	2	1	1	1	1	0.698970004	0.698970004	0.477121255	0.477121255	0.301029996	0.301029996																																																																																																													
BXD39.TyJ	98	4	4	2	2	2	2	0	0	0.698970004	0.698970004	0.477121255	0.477121255	0.477121255	0.477121255																																																																																																													
BXD39.TyJ	99	1	1	1	1	0	0	0	0	0.301029996	0.301029996	0.301029996	0.301029996	0	0																																																																																																													
BXD40.TyJ	100	5368	1202	1722	398	1838	408	1808	396	3.729893404	3.080265627	3.236285277	2.600972896	3.264581729	2.611723308																																																																																																													
BXD40.TyJ	101	4024	985	1805	420	1215	304	1004	261	3.604765885	2.993876915	3.256717746	2.624282096	3.084933575	2.484299839																																																																																																													
BXD42.TyJ	102	4341	1042	1249	311	1421	341	1671	390	3.637689819	3.018284308	3.096910013	2.494154594	3.152899596	2.534026106																																																																																																													
BXD42.TyJ	103	3470	873	1006	261	1350	328	1114	284	3.540454614	2.941511433	3.003029471	2.418301291	3.130655349	2.517195898																																																																																																													
BXD42.TyJ	104	8	7	4	4	0	0	4	3	0.954242509	0.903089987	0.698970004	0.698970004	0	0																																																																																																													
BXD65.RwwJ	105	9	9	4	4	1	1	4	4	1	1	0.698970004	0.698970004	0.301029996	0.301029996																																																																																																													
BXD65.RwwJ	106	228	150	19	18	34	31	175	101	2.359835482	2.178976947	1.301029996	1.278753601	1.544068044	1.505149978																																																																																																													
BXD68.RwwJ	107	47	43	5	5	1	1	41	37	1.681241237	1.643452676	0.77815125	0.77815125	0.301029996	0.301029996																																																																																																													
BXD68.RwwJ	108	6	6	4	4	1	1	1	1	0.84509804	0.84509804	0.698970004	0.698970004	0.301029996	0.301029996																																																																																																													
BXD42.TyJ	109	5083	1201	1133	290	1917	441	2033	470	3.706205542	3.079904468	3.054613055	2.463892989	3.282848603	2.645422269																																																																																																													
