FID	IID	Active	Reinfs	ActivesD1	ReinfsD1	ActivesD2	ReinfsD2	ActivesD3	ReinfsD3	ActiveLG	ReinfsLG	ActivesD1LG	ReinfsD1LG	ActivesD2LG	ReinfsD2LG																																																																																																													
A.J	204	4352	1071	1186	303	1422	351	1744	417	3.638788667	3.030194785	3.074450719	2.482873584	3.1532049	2.546542663																																																																																																													
BALB.cJ	205	6556	1500	2186	500	2174	500	2196	500	3.816705184	3.176380692	3.339848783	2.699837726	3.337459261	2.699837726																																																																																																													
BALB.cByJ	206	2413	625	7	7	247	118	2159	500	3.382737266	2.796574333	0.903089987	0.903089987	2.394451681	2.075546961																																																																																																													
BALB.cByJ	207	6109	1421	1770	421	2165	500	2174	500	3.78604121	3.152899596	3.248218561	2.625312451	3.335658452	2.699837726																																																																																																													
CBA.J	208	12	12	8	8	3	3	1	1	1.113943352	1.113943352	0.954242509	0.954242509	0.602059991	0.602059991																																																																																																													
CBA.J	209	1636	408	13	13	4	4	1619	391	3.214048679	2.611723308	1.146128036	1.146128036	0.698970004	0.698970004																																																																																																													
CBA.J	210	6	6	4	4	2	2	0	0	0.84509804	0.84509804	0.698970004	0.698970004	0.477121255	0.477121255																																																																																																													
FVB.NJ	211	2382	518	19	17	1	1	2362	500	3.377124042	2.715167358	1.301029996	1.255272505	0.301029996	0.301029996																																																																																																													
FVB.NJ	212	1187	286	4	4	1	1	1182	281	3.074816441	2.457881897	0.698970004	0.698970004	0.301029996	0.301029996																																																																																																													
FVB.NJ	213	11	10	5	5	0	0	6	5	1.079181246	1.041392685	0.77815125	0.77815125	0	0																																																																																																													
NOD.ShiLtJ	214	3127	814	327	125	631	189	2169	500	3.495266744	2.911157609	2.515873844	2.100370545	2.800717078	2.278753601																																																																																																													
NOD.ShiLtJ	215	6235	1405	2098	465	1936	440	2201	500	3.794906107	3.147985321	3.322012439	2.668385917	3.287129621	2.644438589																																																																																																													
NOD.ShiLtJ	216	5789	1352	1762	415	1859	437	2168	500	3.762678564	3.131297797	3.246252312	2.619093331	3.269512944	2.641474111																																																																																																													
SJL.J	217	2406	621	13	13	193	108	2200	500	3.38147609	2.793790385	1.146128036	1.146128036	2.28780173	2.037426498																																																																																																													
SJL.J	218	557	184	7	7	2	2	548	175	2.746634199	2.267171728	0.903089987	0.903089987	0.477121255	0.477121255																																																																																																													
SJL.J	219	649	206	8	8	1	1	640	197	2.812913357	2.315970345	0.954242509	0.954242509	0.301029996	0.301029996																																																																																																													
AXB8.PgnJ	220	5	5	3	3	0	0	2	2	0.77815125	0.77815125	0.602059991	0.602059991	0	0																																																																																																													
AXB8.PgnJ	221	2	2	2	2	0	0	0	0	0.477121255	0.477121255	0.477121255	0.477121255	0	0																																																																																																													
AXB8.PgnJ	222	1285	453	344	132	190	104	751	217	3.109240969	2.657055853	2.537819095	2.123851641	2.281033367	2.021189299																																																																																																													
C57BL.6J	223	771	243	18	18	13	11	740	214	2.8876173	2.387389826	1.278753601	1.278753601	1.146128036	1.079181246																																																																																																													
C57BL.6J	224	5	5	3	3	1	1	1	1	0.77815125	0.77815125	0.602059991	0.602059991	0.301029996	0.301029996																																																																																																													
C57BL.6J	225	6	6	5	5	1	1	0	0	0.84509804	0.84509804	0.77815125	0.77815125	0.301029996	0.301029996																																																																																																													
BXH22.KccJ	226	540	298	105	76	167	102	268	120	2.733197265	2.475671188	2.025305865	1.886490725	2.225309282	2.012837225																																																																																																													
BXH22.KccJ	227	2	2	1	1	0	0	1	1	0.477121255	0.477121255	0.301029996	0.301029996	0	0																																																																																																													
CXB1.ByJ	228	1	1	0	0	0	0	1	1	0.301029996	0.301029996	0	0	0	0																																																																																																													
CXB1.ByJ	229	2	2	2	2	0	0	0	0	0.477121255	0.477121255	0.477121255	0.477121255	0	0																																																																																																													
BTBR.T.tf.J	230	3	3	2	2	1	1	0	0	0.602059991	0.602059991	0.477121255	0.477121255	0.301029996	0.301029996																																																																																																													
BTBR.T.tf.J	231	3448	861	1064	276	262	118	2122	467	3.537693194	2.935507266	3.027349608	2.442479769	2.419955748	2.075546961																																																																																																													
BPL.1J	232	2179	625	350	138	631	192	1198	295	3.338456494	2.796574333	2.545307116	2.1430148	2.800717078	2.285557309																																																																																																													
BPL.1J	233	2661	715	828	230	966	255	867	230	3.425208051	2.854913022	2.918554531	2.36361198	2.985426474	2.408239965																																																																																																													
BXA13.PgnJ	234	6583	1351	1712	351	2543	500	2328	500	3.818489822	3.130976692	3.233757363	2.546542663	3.405517107	2.699837726																																																																																																													
BXA13.PgnJ	235	7118	1371	1700	371	2752	500	2666	500	3.852418993	3.137354111	3.230704314	2.57054294	3.439806211	2.699837726																																																																																																													
BTBR.T.tf.J	236	3	3	0	0	0	0	3	3	0.602059991	0.602059991	0	0	0	0																																																																																																													
BTBR.T.tf.J	237	4	4	2	2	1	1	1	1	0.698970004	0.698970004	0.477121255	0.477121255	0.301029996	0.301029996																																																																																																													
BXH22.KccJ	238	29	29	1	1	0	0	28	28	1.477121255	1.477121255	0.301029996	0.301029996	0	0																																																																																																													
BXH22.KccJ	239	12	12	2	2	1	1	9	9	1.113943352	1.113943352	0.477121255	0.477121255	0.301029996	0.301029996																																																																																																													
CBA.J	240	164	111	9	8	4	4	151	99	2.217483944	2.049218023	1	0.954242509	0.698970004	0.698970004																																																																																																													
CBA.J	241	3	3	1	1	1	1	1	1	0.602059991	0.602059991	0.301029996	0.301029996	0.301029996	0.301029996																																																																																																													
BXH8.TyJ	242	3265	777	8	8	1017	269	2240	500	3.51401618	2.890979597	0.954242509	0.954242509	3.007747778	2.431363764																																																																																																													
BXH8.TyJ	243	3	3	2	2	0	0	1	1	0.602059991	0.602059991	0.477121255	0.477121255	0	0																																																																																																													
BXA16.PgnJ	244	124	82	5	5	1	1	118	76	2.096910013	1.919078092	0.77815125	0.77815125	0.301029996	0.301029996																																																																																																													
BXA16.PgnJ	245	11	7	4	3	6	3	1	1	1.079181246	0.903089987	0.698970004	0.602059991	0.84509804	0.602059991																																																																																																													
LG.J	246	1462	495	444	156	460	159	558	180	3.165244326	2.695481676	2.648360011	2.195899652	2.663700925	2.204119983																																																																																																													
LG.J	247	1629	526	494	164	516	170	619	192	3.212187604	2.721810615	2.694605199	2.217483944	2.713490543	2.23299611																																																																																																													
BXA16.PgnJ	248	9	9	7	7	0	0	2	2	1	1	0.903089987	0.903089987	0	0																																																																																																													
BXA16.PgnJ	249	3	3	3	3	0	0	0	0	0.602059991	0.602059991	0.602059991	0.602059991	0	0																																																																																																													
LG.J	250	841	375	347	139	305	129	189	107	2.925312091	2.575187845	2.541579244	2.146128036	2.485721426	2.113943352																																																																																																													
LG.J	251	658	330	182	102	294	126	182	102	2.818885415	2.519827994	2.26245109	2.012837225	2.469822016	2.103803721																																																																																																													
BPL.1J	252	2883	768	1175	299	967	257	741	212	3.459995256	2.88592634	3.070407322	2.477121255	2.985875357	2.411619706																																																																																																													
BPL.1J	253	2365	655	833	225	787	218	745	212	3.37401474	2.816903839	2.921166051	2.354108439	2.896526217	2.340444115																																																																																																													
BPL.1J	254	13	13	6	6	1	1	6	6	1.146128036	1.146128036	0.84509804	0.84509804	0.301029996	0.301029996																																																																																																													
BXH4.TyJ	255	3	3	3	3	0	0	0	0	0.602059991	0.602059991	0.602059991	0.602059991	0	0																																																																																																													
BXH4.TyJ	256	2	2	0	0	2	2	0	0	0.477121255	0.477121255	0	0	0.477121255	0.477121255																																																																																																													
BXH4.TyJ	257	48	45	22	20	9	8	17	17	1.69019608	1.662757832	1.361727836	1.322219295	1	0.954242509																																																																																																													
BXA4.PgnJ	258	11	11	4	4	0	0	7	7	1.079181246	1.079181246	0.698970004	0.698970004	0	0																																																																																																													
BXD75.RwwJ	259	1551	510	626	192	609	188	316	130	3.190891717	2.7084209	2.797267541	2.285557309	2.785329835	2.276461804																																																																																																													
BXD75.RwwJ	260	1528	500	449	155	575	179	504	166	3.184407485	2.699837726	2.653212514	2.193124598	2.760422483	2.255272505																																																																																																													
BXH6.TyJ	261	6026	1322	1700	384	2043	445	2283	493	3.780101191	3.121559844	3.230704314	2.58546073	3.310480891	2.649334859																																																																																																													
BXH6.TyJ	262	542	177	1	1	1	1	540	175	2.73479983	2.250420002	0.301029996	0.301029996	0.301029996	0.301029996																																																																																																													
BXH6.TyJ	263	4924	1176	879	241	2188	500	1857	435	3.692406235	3.070776463	2.944482672	2.383815366	3.340245762	2.699837726																																																																																																													
I.LnJ	264	6339	1433	1837	433	2221	500	2281	500	3.802089258	3.156549151	3.264345507	2.63748973	3.346744055	2.699837726																																																																																																													
I.LnJ	265	6010	1404	1908	449	1988	465	2114	490	3.778946728	3.147676324	3.280805928	2.653212514	3.298634783	2.668385917																																																																																																													
BXH9.TyJ	266	1787	561	532	174	535	176	720	211	3.252367514	2.749736316	2.726727209	2.243038049	2.72916479	2.247973266																																																																																																													
BXH9.TyJ	267	3360	856	198	109	1278	321	1884	426	3.526468512	2.932980822	2.298853076	2.041392685	3.106870544	2.507855872																																																																																																													
CXB8.HiAJ	268	4123	993	1629	384	1385	332	1109	277	3.615318657	2.997386384	3.212187604	2.58546073	3.14176323	2.522444234																																																																																																													
CXB8.HiAJ	269	1471	494	799	224	305	129	367	141	3.16790781	2.694605199	2.903089987	2.352182518	2.485721426	2.113943352																																																																																																													
BXA25.PgnJ	270	8	8	3	3	0	0	5	5	0.954242509	0.954242509	0.602059991	0.602059991	0	0																																																																																																													
BXA25.PgnJ	271	3	3	3	3	0	0	0	0	0.602059991	0.602059991	0.602059991	0.602059991	0	0																																																																																																													
BXD75.RwwJ	272	4314	1060	1898	445	1273	322	1143	293	3.6349808	3.025715384	3.278524965	2.649334859	3.105169428	2.509202522																																																																																																													
BXD75.RwwJ	273	4035	955	383	144	1804	411	1848	400	3.605951158	2.980457892	2.584331224	2.161368002	3.256477206	2.614897216																																																																																																													
CXB11.HiAJ	274	2119	625	973	263	391	148	755	214	3.326335861	2.796574333	2.988558957	2.421603927	2.593286067	2.173186268																																																																																																													
CXB11.HiAJ	275	6527	1484	2125	484	2200	500	2202	500	3.814780146	3.171726454	3.32756326	2.685741739	3.342620043	2.699837726																																																																																																													
AXB19a.PgnJ	276	1	1	0	0	0	0	1	1	0.301029996	0.301029996	0	0	0	0																																																																																																													
AXB19a.PgnJ	277	9	7	6	4	1	1	2	2	1	0.903089987	0.84509804	0.698970004	0.301029996	0.301029996																																																																																																													
C58.J	278	415	176	38	32	1	1	376	143	2.619093331	2.247973266	1.591064607	1.51851394	0.301029996	0.301029996																																																																																																													
C58.J	279	838	358	208	105	208	105	422	148	2.923761961	2.555094449	2.320146286	2.025305865	2.320146286	2.025305865																																																																																																													
C58.J	280	4064	965	1320	313	1228	297	1516	355	3.60906055	2.984977126	3.120902818	2.496929648	3.089551883	2.474216264																																																																																																													
C58.J	281	5293	1222	1521	356	1817	419	1955	447	3.723783937	3.087426457	3.182414652	2.552668216	3.259593879	2.62324929																																																																																																													
CXB11.HiAJ	282	4542	1097	854	233	1519	369	2169	495	3.657342737	3.04060234	2.931966115	2.369215857	3.181843588	2.568201724																																																																																																													
CXB11.HiAJ	283	6051	1377	1647	383	2188	494	2216	500	3.781898919	3.139249218	3.216957207	2.584331224	3.340245762	2.694605199																																																																																																													
BXH22.KccJ	284	6	6	4	4	1	1	1	1	0.84509804	0.84509804	0.698970004	0.698970004	0.301029996	0.301029996																																																																																																													
BXH22.KccJ	285	15	14	14	13	0	0	1	1	1.204119983	1.176091259	1.176091259	1.146128036	0	0																																																																																																													
BXH19.TyJ	286	1145	432	293	127	516	170	336	135	3.059184618	2.636487896	2.46834733	2.10720997	2.713490543	2.23299611																																																																																																													
BXH19.TyJ	287	8	8	4	4	2	2	2	2	0.954242509	0.954242509	0.698970004	0.698970004	0.477121255	0.477121255																																																																																																													
AXB15.PgnJ	288	9	9	5	5	2	2	2	2	1	1	0.77815125	0.77815125	0.477121255	0.477121255																																																																																																													
AXB15.PgnJ	289	5	5	3	3	2	2	0	0	0.77815125	0.77815125	0.602059991	0.602059991	0.477121255	0.477121255																																																																																																													
BXH9.TyJ	290	2412	683	899	248	414	150	1099	285	3.382557322	2.835056102	2.954242509	2.396199347	2.618048097	2.178976947																																																																																																													
BXH9.TyJ	291	1578	521	860	239	422	153	296	129	3.19838213	2.717670503	2.935003151	2.380211242	2.626340367	2.187520721																																																																																																													
BXA14.PgnJ	292	547	181	6	6	2	2	539	173	2.738780558	2.260071388	0.84509804	0.84509804	0.477121255	0.477121255																																																																																																													
BXA14.PgnJ	293	219	110	5	5	1	1	213	104	2.342422681	2.045322979	0.77815125	0.77815125	0.301029996	0.301029996																																																																																																													
BXA25.PgnJ	294	7	7	5	5	0	0	2	2	0.903089987	0.903089987	0.77815125	0.77815125	0	0																																																																																																													
BXA25.PgnJ	295	3	3	1	1	1	1	1	1	0.602059991	0.602059991	0.301029996	0.301029996	0.301029996	0.301029996																																																																																																													
BXD75.RwwJ	296	1261	448	573	181	358	137	330	130	3.101059355	2.652246341	2.758911892	2.260071388	2.555094449	2.139879086																																																																																																													
BXD75.RwwJ	297	5	5	5	5	0	0	0	0	0.77815125	0.77815125	0.77815125	0.77815125	0	0																																																																																																													
AXB1.PgnJ	298	376	245	49	49	176	104	151	92	2.57634135	2.390935107	1.698970004	1.698970004	2.247973266	2.021189299																																																																																																													
AXB1.PgnJ	299	876	379	286	125	282	125	308	129	2.942999593	2.579783597	2.457881897	2.100370545	2.451786436	2.100370545																																																																																																													
AXB1.PgnJ	300	1073	364	22	20	428	153	623	191	3.031004281	2.562292864	1.361727836	1.322219295	2.632457292	2.187520721																																																																																																													
BXA14.PgnJ	301	1923	589	380	145	601	189	942	255	3.284205068	2.770852012	2.580924976	2.164352856	2.779596491	2.278753601																																																																																																													
BXA14.PgnJ	302	4	4	0	0	3	3	1	1	0.698970004	0.698970004	0	0	0.602059991	0.602059991																																																																																																													
BXA14.PgnJ	303	8	8	5	5	3	3	0	0	0.954242509	0.954242509	0.77815125	0.77815125	0.602059991	0.602059991																																																																																																													
NOR.LtJ	304	3140	824	1507	365	696	206	937	253	3.497067936	2.916453949	3.178401342	2.563481085	2.843232778	2.315970345																																																																																																													
NOR.LtJ	305	3348	852	643	185	1000	265	1705	402	3.524915148	2.930949031	2.808885867	2.269512944	3.000434077	2.424881637																																																																																																													
BXH22.KccJ	306	1	1	1	1	0	0	0	0	0.301029996	0.301029996	0.301029996	0.301029996	0	0																																																																																																													
AXB23.PgnJ	307	2	2	2	2	0	0	0	0	0.477121255	0.477121255	0.477121255	0.477121255	0	0																																																																																																													
AXB23.PgnJ	308	71	63	17	17	3	3	51	43	1.857332496	1.806179974	1.255272505	1.255272505	0.602059991	0.602059991																																																																																																													
I.LnJ	309	5391	991	7	5	2772	486	2612	500	3.731749884	2.996511672	0.903089987	0.77815125	3.44294987	2.687528961																																																																																																													
I.LnJ	310	4	4	2	2	2	2	0	0	0.698970004	0.698970004	0.477121255	0.477121255	0.477121255	0.477121255																																																																																																													
BXH22.KccJ	311	1	1	0	0	0	0	1	1	0.301029996	0.301029996	0	0	0	0																																																																																																													
SWR.J	312	8	7	5	5	1	1	2	1	0.301029996	0.301029996	0	0	0	0																																																																																																													
SWR.J	313	5	5	2	2	3	3	0	0	0.954242509	0.903089987	0.77815125	0.77815125	0.301029996	0.301029996																																																																																																													
AXB6.PgnJ	314	1318	463	468	161	606	186	244	116	0.77815125	0.77815125	0.477121255	0.477121255	0.602059991	0.602059991																																																																																																													
BXA7.PgnJ	315	6525	1500	2190	500	2165	500	2170	500	3.120244796	2.666517981	2.671172843	2.209515015	2.783188691	2.271841607																																																																																																													
C57BR.cdJ	316	5504	1304	1519	369	2057	480	1928	455	3.814647069	3.176380692	3.340642378	2.699837726	3.335658452	2.699837726																																																																																																													
C57BR.cdJ	317	5807	1312	1289	312	2267	500	2251	500	3.740757323	3.115610512	3.181843588	2.568201724	3.31344537	2.682145076																																																																																																													
BXD84.RwwJ	318	2	2	1	1	1	1	0	0	3.764026608	3.118264726	3.11058971	2.495544338	3.35564305	2.699837726																																																																																																													
BXD84.RwwJ	319	9	9	7	7	0	0	2	2	0.477121255	0.477121255	0.301029996	0.301029996	0.301029996	0.301029996																																																																																																													
CXB9.HiAJ	320	6626	1500	2236	500	2200	500	2190	500	1	1	0.903089987	0.903089987	0	0																																																																																																													
CXB9.HiAJ	321	3430	879	1138	290	1382	341	910	248	3.821316971	3.176380692	3.349665984	2.699837726	3.342620043	2.699837726																																																																																																													
MA.MyJ	322	6	6	2	2	2	2	2	2	3.535420718	2.944482672	3.056523724	2.463892989	3.14082218	2.534026106																																																																																																													
MA.MyJ	323	2470	702	863	242	740	217	867	243	0.84509804	0.84509804	0.477121255	0.477121255	0.477121255	0.477121255																																																																																																													
MA.MyJ	324	15	15	14	14	1	1	0	0	3.392872745	2.846955325	2.936513742	2.385606274	2.869818208	2.338456494																																																																																																													
C57BR.cdJ	325	2349	602	17	13	674	202	1658	387	1.204119983	1.204119983	1.176091259	1.176091259	0.301029996	0.301029996																																																																																																													
BXA7.PgnJ	326	6562	1489	2206	489	2178	500	2178	500	3.371067862	2.780317312	1.255272505	1.146128036	2.829303773	2.307496038																																																																																																													
BXA7.PgnJ	327	6724	1500	2235	500	2273	500	2216	500	3.817102404	3.173186268	3.343802333	2.69019608	3.33825723	2.699837726																																																																																																													
